Stkcd,Pressure,Tone,Size,Growth,year,indus1,NCSKEW,DUVOL,EM,EPS,Institution,Shareholding
55,-.772694,.45974026,23.154242,-.014082,2019,30,.2137953341007233,-.0175557434558868,2.173489,.31,24.819,0
58,.0047029,.29321383,21.658684,-.093252,2016,61,-.6839138865470886,-.7103313207626343,1.449112,.1371,31.8385,1
58,.0106834,.34545455,22.668118,1.946689,2017,61,-.8408724665641785,-.9641826152801514,2.709336,.1777,36.9542,1
58,-.0341736,.1467793,22.687298,-.189531,2018,61,-2.0766921043396,-.8444774746894836,2.909571,.0225,57.2737,1
60,.01663552,.17866667,23.377619,.163673,2014,29,-1.213004469871521,-1.227945685386658,2.177689,.23,49.2969,1
60,.04460012,.25239617,23.488504,-.31074101,2015,29,.5966382026672363,.5046101808547974,2.013039,.09,52.2767,1
60,.03075653,.21348315,23.554661,-.110923,2016,29,-.8321642875671387,-.5397404432296753,2.065386,.15,49.4214,1
60,.1408705,.23320158,23.660778,.25947601,2017,29,-.7342328429222107,-.6836646199226379,1.813343,.46,46.4696,1
60,.13767098,.22891566,23.694004,.052557,2018,29,.3673826158046722,-.0782364159822464,1.820138,.26,41.3438,1
60,.29148094,.03225806,23.734901,.142116,2019,29,-1.189789533615112,-.6834496855735779,1.788183,.24,43.0365,1
60,.13589807,.16747967,23.91573,.32567701,2020,29,-.6447608470916748,-.4642931520938873,1.896059,.28,43.0321,1
61,.03078049,.24734043,23.348309,-.239961,2014,61,-.6929077506065369,-1.051369905471802,2.242479,.0497,70.5305,1
61,.12868035,.16764361,23.504038,.053635,2015,61,-.2754115760326385,-.5243123173713684,2.651133,.0121,69.2617,1
61,.13509442,.40223464,23.571032,.163204,2016,61,-.2978165745735168,.2894159555435181,2.760617,.0521,70.5613,1
61,.0871426,.31147541,23.65943,.21098299,2017,61,1.200889468193054,.8677812814712524,2.940168,.0082,69.1435,1
61,.0372219,.27952421,23.667688,-.058957,2018,61,.3093485534191132,.7477391362190247,2.88296,.0252,69.2343,1
61,-.1037916,.39416058,23.688807,.112685,2020,61,-2.354247093200684,-.9694082140922546,2.735611,.1858,69.8244,1
62,.0137822,.41068702,22.121029,.28540701,2014,61,-.2659930884838104,.0470063276588917,1.70047,.72,75.5021,0
62,.3185853,.55189456,22.544966,-.237846,2015,61,-.5609939694404602,-.3976463675498962,1.680473,.5556,73.1968,0
62,.388518,.63973064,22.658064,1.726426,2016,61,-.3290873467922211,-.3096252381801605,1.695859,.5904,73.1097,0
62,.34536558,.58139535,22.871008,.49656999,2017,61,-1.893788933753967,-.9483734965324402,1.91419,.5716,73.3133,0
62,.41060897,.53982301,23.055593,.42201599,2018,61,-.3388133943080902,-.450395405292511,2.002188,.9504,74.1283,0
62,.2150927,.53301435,23.152525,.21657901,2019,61,-.9502982497215271,-.575273871421814,1.987378,.6024,73.8396,0
62,.6485925299999999,.51812367,23.228054,.137629,2020,61,-.3386955261230469,.0489834323525429,2.006381,.5971,73.1764,0
63,.86274748,.30769231,25.388723,.082909,2014,36,-.5353654026985168,-.6725262999534607,4.039714,.77,57.1648,0
63,.43679203,.27380952,25.518179,.22971401,2015,36,-.0759259164333344,.0156303215771914,2.788876,.78,59.7282,0
63,.23965397,.30511464,25.676561,.010448,2016,36,-.3035339117050171,-.219729095697403,3.464366,-.57,61.6712,0
63,1.0275906,.15179969,25.692816,.074897,2017,36,.3690301477909088,.2140772044658661,3.172361,1.09,60.5164,0
63,.91342288,.15789474,25.585794,-.21414401,2018,36,-.3013435006141663,-.5117852687835693,3.924396,-1.67,61.1434,0
63,2.4678564,.20525452,25.673458,.061083,2019,36,-1.407869815826416,-.958366870880127,3.72032,1.22,59.8008,0
63,1.8060317,.1625183,25.738125,.118079,2020,36,-.7201167941093445,-.2824153304100037,3.265974,.92,55.3916,0
65,-.241002,.4608985,23.220446,1.044516,2016,43,-.390836089849472,-.3192766904830933,3.318358,.95,80.1088,1
65,.31522768,.45230769,23.162529,.11049,2017,43,-.6789993047714233,-.2387519031763077,2.779638,.97,73.1688,1
65,.58437467,.18348624,23.161079,.025835,2018,43,-.7291286587715149,-.4881446361541748,2.483932,.77,68.7556,1
65,1.1388386,.18192352,23.414246,.108077,2019,43,-1.695515155792236,-.5042127966880798,2.703702,.92,68.62139999999999,1
65,.29119,.2852459,23.618149,.16188601,2020,43,-.5098811388015747,-.3791221082210541,2.903573,.98,66.88079999999999,1
66,.5306526,.47799697,24.433439,-.052206,2016,36,-1.929088711738586,-1.208094954490662,4.298815,.025,57.4035,1
66,.1425891,.31484502,23.444666,-.86247498,2017,36,.7397622466087341,.3225531280040741,2.011168,.204,44.8336,1
66,.22238409,.38421509,23.495993,.052872,2018,36,-.4677531719207764,-.3026017546653748,2.406195,.336,47.1575,1
66,.08851922,.41215654,23.799227,.083351,2019,36,-.8096530437469482,-.4821512997150421,2.505069,.38,53.7153,1
66,.0662524,.32136752,24.038551,.33219999,2020,36,-.5220941305160522,-.5194743275642395,2.945345,.317,51.6804,1
68,.3169385,.4015444,20.996132,.74402303,2016,36,-.0895596742630005,-.1379463821649551,1.640295,.0099,53.0232,0
68,.37411347,.30526316,21.754206,.38770401,2017,36,.0065251113846898,-.3180523812770844,2.566068,.0324,52.2115,0
68,.36075496,.4929972,21.959808,-.5013719800000001,2018,36,-2.060478687286377,-1.293360829353333,3.677755,-.132,49.8261,0
68,.59044633,.37752161,22.054653,.093188,2019,36,-.469327837228775,-.0633253306150436,3.954592,.006,47.0359,1
69,.14275585,.53996101,25.275829,.090985,2014,65,-.419989287853241,-.3850705921649933,2.942082,.6566,74.3168,1
69,.24221136,.5954023000000001,25.47051,.049421,2015,65,-.3558036088943481,-.2697776257991791,2.732975,.637,70.8574,1
69,.27823975,.70194384,25.709232,.100656,2016,65,-.0601228550076485,-.2143971621990204,3.041501,.8395,75.28660000000001,1
69,.05532456,.57635468,26.105297,.19334599,2017,65,.464249461889267,.1824579983949661,3.321273,1.0533,75.61490000000001,1
69,.08017713,.41565601,26.407413,.13700899,2018,65,-.2322888821363449,-.2914208173751831,3.812315,1.2907,75.19119999999999,1
69,.23069837,.49122807,26.662437,.246824,2019,65,-.1255334615707397,-.3999977111816406,3.996279,1.5044,71.15260000000001,1
69,.15777171,.54567901,26.847048,.36389899,2020,65,-.771183967590332,-.7074691653251648,4.13668,1.5633,66.2499,1
70,.0874,.53532609,21.681902,.217122,2014,35,.1121484264731407,-.1132462546229362,2.067569,.2051,55.6906,1
70,.15146913,.58935361,22.345716,.88277501,2016,35,-.6290402412414551,-.692340612411499,3.052501,.6245000000000001,58.4696,1
70,.19162638,.41686747,22.529436,.18659499,2017,35,-.7402156591415405,-.5700827240943909,3.20695,.4236,48.7524,1
70,.463297,.28148148,22.745222,.042559,2018,35,.2842154800891876,.1374492794275284,3.277411,.4396,48.5964,1
70,.46564656,.25864124,22.754536,-.18403301,2019,35,-.8405930399894714,-.6219524145126343,2.457605,.4123,42.2886,1
70,.31516305,.29065041,23.085968,.014287,2020,35,-.1686632633209229,.0530310980975628,3.390248,.014,44.23,1
78,.28079718,.28236745,23.536364,.223803,2016,47,-.7019833326339722,-.6458315253257751,2.834565,.1884,49.7546,0
78,.4855381,.35714286,24.152868,.83299899,2017,47,-.3988401591777802,-.299029678106308,4.770386,.2414,52.8701,0
78,.39793502,.21961185,24.439924,.53895199,2018,47,.9247882962226868,.4473898708820343,5.745287,.1694,49.6116,0
78,.1640816,.10242086,24.440933,.081077,2019,47,.1888337880373001,-.2438922524452209,5.243898,.078,47.871,0
78,.266774,.15873016,24.405134,-.035433,2020,47,-1.055568933486938,-.6978724002838135,5.303283,-.11,45.3697,0
88,.02940447,.18518519,22.643997,-.022245,2014,49,-.5788688063621521,-.3129238188266754,1.231858,.2265,69.30240000000001,1
88,.0475566,.19161677,22.787445,-.172638,2015,49,-.6079556941986084,-.2146309018135071,1.297629,.22,78.66160000000001,1
88,-.0794935,.20821114,22.834343,.139907,2016,49,-1.593311786651611,-.9934703707695007,1.27444,.18,78.3706,1
88,.0027457,.37370242,23.056351,.17376,2018,49,.3479649424552917,.1108440533280373,1.331305,.23,78.21899999999999,1
88,-.0069726,.30049261,23.122725,.470478,2019,49,-1.052261114120483,-1.026235342025757,1.346774,.19,78.23560000000001,1
89,.00505344,.61260426,23.264675,.16763499,2014,51,-.6390157341957092,-.3097745478153229,1.602662,.1584,64.9868,1
89,.17475352,.61939394,23.204416,-.00698,2015,51,-.5305840969085693,-.2747445702552795,1.165782,.2739,65.7774,1
89,.1158492,.62264151,23.247383,.028368,2016,51,-.8663659691810608,-.5922107696533203,1.164155,.2743,70.0943,1
89,.16083482,.54201681,23.297165,.093699,2017,51,.2735739648342133,.070603534579277,1.16905,.3225,73.0239,1
89,.11816924,.53149171,23.3225,.083843,2018,51,-.3570669889450073,-.3665699064731598,1.154082,.3257,72.7252,1
89,.20129246,.49906191,23.36388,.057601,2019,51,-.2449273020029068,-.4644756019115448,1.16084,.2895,69.52119999999999,1
89,.2389546,.66508988,23.439131,-.212741,2020,51,-.8075586557388306,-.752307653427124,1.2662,.0137,66.9127,1
90,.0449127,.4486166,23.12364,.17386401,2014,43,.2419512420892715,-.0806660652160645,2.983014,.7628,55.8707,1
90,.26482044,.50739774,23.529882,.192321,2015,43,-.7033129930496216,-.9071301817893982,2.670777,.71,65.7784,1
90,.59062369,.55357143,23.682886,-.017215,2016,43,-1.214939713478088,-.7372320294380188,3.044783,.37,62.034,1
90,.44540965,.44510386,23.973356,.087063,2017,43,-.5121467709541321,-.0358348824083805,3.914659,.5,62.2924,1
90,.29425645,.50537634,24.18088,.51260698,2018,43,.2469642460346222,.2308215498924255,3.632617,.54,59.1829,1
90,1.0179629,.46810422,24.419949,.43643799,2019,43,-.2181059420108795,-.2713547646999359,4.172997,.6042,55.0244,1
90,.5320867,.49865712,24.615059,.167703,2020,43,-1.088773369789124,-.8236410021781921,4.439372,.738,50.0475,1
96,.2337271,.23651452,21.611105,-.092942,2016,46,-.5275455117225647,-.7184867262840271,1.054398,.55,57.3599,1
96,.0955502,.24916944,21.696671,.330623,2018,46,.2449087798595428,.0985024720430374,1.059082,.2,66.6977,1
96,.4007493,.31012658,21.803955,-.018806,2019,46,-.1988431513309479,-.3048891723155975,1.076924,.24,68.9841,1
99,.0911125,.23913043,22.217167,.12796099,2014,51,-.4181497693061829,-.3497869968414307,1.635755,.3495,42.8995,1
99,.2193895,.19721578,22.325026,-.037119,2015,51,-1.099993348121643,-.5871284008026123,1.763157,.2795,43.8887,1
99,.36918797,.16030534,22.311111,-.091108,2016,51,-1.940323114395142,-1.520229578018188,1.701311,.14,45.9693,1
99,.22924851,.2690167,22.457319,.122952,2018,51,.5670163631439209,.261156290769577,1.768291,.25,43.0371,1
99,.0271912,.19911504,22.491695,.099147,2019,51,-.8038345575332642,-.3200570046901703,1.72855,.35,43.7602,1
99,-.0296028,.23282443,22.430292,-.005674,2020,51,-.6799142956733704,-.2472420036792755,1.53302,.36,43.3374,1
100,.0133857,.63971341,25.254541,.184058,2014,36,-.7901818156242371,-.3375439047813416,3.45775,.348,23.7183,0
100,-.02450222,.63659148,25.439573,.035147,2015,36,-1.493439555168152,-.8006480932235718,2.969877,.2141,37.1788,0
100,.085293,.57613815,25.714628,.018111,2016,36,-.1301033794879913,-.0996407717466354,3.216331,.1312,39.8419,0
100,.19689863,.38909091,25.800276,.047936,2017,36,-.1881717145442963,-.5479472279548645,2.960571,.2178,43.335,0
100,.0574413,.39412998,25.984732,.015977,2018,36,-.2840370833873749,.1879321038722992,3.166727,.2566,36.3103,0
100,.03256335,.29986053,25.82827,-.33898199,2019,36,-.4791646301746368,-.4313320517539978,2.580413,.1986,29.844,0
100,.04923182,.22572178,26.275869,.023276,2020,36,.2290018945932388,.3860070407390594,2.863832,.3366,28.4481,0
